experiment,scenario,fly_id,timestamp_s,nearest_horizontal_distance_m
A_OFF,off,fly-b,0.7666666666666666,0.0
A_OFF,off,fly-a,0.775,0.0
A_OFF,off,fly-b,0.775,0.0
A_OFF,off,fly-a,0.7833333333333333,0.0
A_OFF,off,fly-b,0.7833333333333333,0.0
A_OFF,off,fly-a,0.7916666666666666,0.0
A_OFF,off,fly-b,0.7916666666666666,0.0
A_OFF,off,fly-a,0.8,0.0
A_OFF,off,fly-b,0.8,0.0
A_OFF,off,fly-a,0.8083333333333333,0.0
A_OFF,off,fly-b,0.8083333333333333,0.0
A_OFF,off,fly-a,0.8166666666666667,0.0
A_OFF,off,fly-b,0.8166666666666667,0.0
A_OFF,off,fly-a,0.825,0.0
A_OFF,off,fly-b,0.825,0.0
A_OFF,off,fly-a,0.8333333333333334,0.0
A_OFF,off,fly-b,0.8333333333333334,0.0
A_OFF,off,fly-a,0.8416666666666667,0.0
A_OFF,off,fly-b,0.8416666666666667,0.0
A_OFF,off,fly-a,0.85,0.0
A_OFF,off,fly-b,0.85,0.0
A_OFF,off,fly-a,0.8583333333333333,0.0
A_OFF,off,fly-b,0.8583333333333333,0.0
A_OFF,off,fly-a,0.8666666666666667,0.0
A_OFF,off,fly-b,0.8666666666666667,0.0
A_OFF,off,fly-a,0.875,0.0
A_OFF,off,fly-b,0.875,0.0
A_OFF,off,fly-a,0.8833333333333333,0.0
A_OFF,off,fly-b,0.8833333333333333,0.0
A_OFF,off,fly-a,0.8916666666666666,0.0
A_OFF,off,fly-b,0.8916666666666666,0.0
A_OFF,off,fly-a,0.9,0.0
A_OFF,off,fly-b,0.9,0.0
A_OFF,off,fly-a,0.9083333333333333,0.0
A_OFF,off,fly-b,0.9083333333333333,0.0
A_OFF,off,fly-a,0.9166666666666666,0.0
A_OFF,off,fly-b,0.9166666666666666,0.0
A_OFF,off,fly-a,0.9249999999999999,0.0
A_OFF,off,fly-b,0.9249999999999999,0.0
A_OFF,off,fly-a,0.9333333333333333,0.0
A_OFF,off,fly-b,0.9333333333333333,0.0
A_OFF,off,fly-a,0.9416666666666667,0.0
A_OFF,off,fly-b,0.9416666666666667,0.0
A_OFF,off,fly-a,0.95,0.0
A_OFF,off,fly-b,0.95,0.0
A_OFF,off,fly-a,0.9583333333333334,0.0
A_OFF,off,fly-b,0.9583333333333334,0.0
A_OFF,off,fly-a,0.9666666666666667,0.0
A_OFF,off,fly-b,0.9666666666666667,0.0
A_OFF,off,fly-a,0.975,0.0
A_OFF,off,fly-b,0.975,0.0
A_OFF,off,fly-a,0.9833333333333333,0.0
A_OFF,off,fly-b,0.9833333333333333,0.0
A_OFF,off,fly-a,0.9916666666666667,0.0
A_OFF,off,fly-b,0.9916666666666667,0.0
A_OFF,off,fly-a,1.0,0.0
A_OFF,off,fly-b,1.0,0.0
A_OFF,off,fly-a,1.0083333333333333,0.0
A_OFF,off,fly-b,1.0083333333333333,0.0
A_OFF,off,fly-a,1.0166666666666666,0.0
A_OFF,off,fly-b,1.0166666666666666,0.0
A_OFF,off,fly-a,1.025,0.0
A_OFF,off,fly-b,1.025,0.0
A_OFF,off,fly-a,1.0333333333333332,0.0
A_OFF,off,fly-b,1.0333333333333332,0.0
A_OFF,off,fly-a,1.0416666666666667,0.0
A_OFF,off,fly-b,1.0416666666666667,0.0
A_OFF,off,fly-a,1.05,0.0
A_OFF,off,fly-b,1.05,0.0
A_OFF,off,fly-a,1.0583333333333333,0.0
A_OFF,off,fly-b,1.0583333333333333,0.0
A_OFF,off,fly-a,1.0666666666666667,0.0
A_OFF,off,fly-b,1.0666666666666667,0.0
A_OFF,off,fly-a,1.075,0.0
A_OFF,off,fly-b,1.075,0.0
A_OFF,off,fly-a,1.0833333333333333,0.0
A_OFF,off,fly-b,1.0833333333333333,0.0
A_OFF,off,fly-a,1.0916666666666666,0.0
A_OFF,off,fly-b,1.0916666666666666,0.0
A_OFF,off,fly-a,1.1,0.0
A_OFF,off,fly-b,1.1,0.0
A_OFF,off,fly-a,1.1083333333333334,0.0
A_OFF,off,fly-b,1.1083333333333334,0.0
A_OFF,off,fly-a,1.1166666666666667,0.0
A_OFF,off,fly-b,1.1166666666666667,0.0
A_OFF,off,fly-a,1.125,0.0
A_OFF,off,fly-b,1.125,0.0
A_OFF,off,fly-a,1.1333333333333333,0.0
A_OFF,off,fly-b,1.1333333333333333,0.0
A_OFF,off,fly-a,1.1416666666666666,0.0
A_OFF,off,fly-b,1.1416666666666666,0.0
A_OFF,off,fly-a,1.15,0.0
A_OFF,off,fly-b,1.15,0.0
A_OFF,off,fly-a,1.1583333333333332,0.0
A_OFF,off,fly-b,1.1583333333333332,0.0
A_OFF,off,fly-a,1.1666666666666667,0.0
A_OFF,off,fly-b,1.1666666666666667,0.0
A_OFF,off,fly-a,1.175,0.0
A_OFF,off,fly-b,1.175,0.0
A_OFF,off,fly-a,1.1833333333333333,0.0
A_OFF,off,fly-b,1.1833333333333333,0.0
A_OFF,off,fly-a,1.1916666666666667,0.0
A_OFF,off,fly-b,1.1916666666666667,0.0
A_OFF,off,fly-a,1.2,0.0
A_OFF,off,fly-b,1.2,0.0
A_OFF,off,fly-a,1.2083333333333333,0.0
A_OFF,off,fly-b,1.2083333333333333,0.0
A_OFF,off,fly-a,1.2166666666666666,0.0
A_OFF,off,fly-b,1.2166666666666666,0.0
A_OFF,off,fly-a,1.225,0.0
A_OFF,off,fly-b,1.225,0.0
A_OFF,off,fly-a,1.2333333333333334,0.0
A_OFF,off,fly-b,1.2333333333333334,0.0
A_OFF,off,fly-a,1.2416666666666667,0.0
A_OFF,off,fly-b,1.2416666666666667,0.0
A_OFF,off,fly-a,1.25,0.0
A_OFF,off,fly-b,1.25,0.0
A_OFF,off,fly-a,1.2583333333333333,0.0
A_OFF,off,fly-b,1.2583333333333333,0.0
A_OFF,off,fly-a,1.2666666666666666,0.0
A_OFF,off,fly-b,1.2666666666666666,0.0
A_OFF,off,fly-a,1.275,0.0
A_OFF,off,fly-b,1.275,0.0
A_OFF,off,fly-a,1.2833333333333332,0.0
A_OFF,off,fly-b,1.2833333333333332,0.0
A_OFF,off,fly-a,1.2916666666666667,0.0
A_OFF,off,fly-b,1.2916666666666667,0.0
A_OFF,off,fly-a,1.3,0.0
A_OFF,off,fly-b,1.3,0.0
A_OFF,off,fly-a,1.3083333333333333,0.0
A_OFF,off,fly-b,1.3083333333333333,0.0
A_OFF,off,fly-a,1.3166666666666667,0.0
A_OFF,off,fly-b,1.3166666666666667,0.0
A_OFF,off,fly-a,1.325,0.0
A_OFF,off,fly-b,1.325,0.0
A_OFF,off,fly-a,1.3333333333333333,0.0
A_OFF,off,fly-b,1.3333333333333333,0.0
A_OFF,off,fly-a,1.3416666666666666,0.0
A_OFF,off,fly-b,1.3416666666666666,0.0
A_OFF,off,fly-a,1.35,0.0
A_OFF,off,fly-b,1.35,0.0
A_OFF,off,fly-a,1.3583333333333334,0.0
A_OFF,off,fly-b,1.3583333333333334,0.0
A_OFF,off,fly-a,1.3666666666666667,0.0
A_OFF,off,fly-b,1.3666666666666667,0.0
A_OFF,off,fly-a,1.375,0.0
A_OFF,off,fly-b,1.375,0.0
A_OFF,off,fly-a,1.3833333333333333,0.0
A_OFF,off,fly-b,1.3833333333333333,0.0
A_OFF,off,fly-a,1.3916666666666666,0.0
A_OFF,off,fly-b,1.3916666666666666,0.0
A_OFF,off,fly-a,1.4,0.0
A_OFF,off,fly-b,1.4,0.0
A_OFF,off,fly-a,1.4083333333333332,0.0
A_OFF,off,fly-b,1.4083333333333332,0.0
A_OFF,off,fly-a,1.4166666666666667,0.0
A_OFF,off,fly-b,1.4166666666666667,0.0
A_OFF,off,fly-a,1.425,0.0
A_OFF,off,fly-b,1.425,0.0
A_OFF,off,fly-a,1.4333333333333333,0.0
A_OFF,off,fly-b,1.4333333333333333,0.0
A_OFF,off,fly-a,1.4416666666666667,0.0
A_OFF,off,fly-b,1.4416666666666667,0.0
A_OFF,off,fly-a,1.45,0.0
A_OFF,off,fly-b,1.45,0.0
A_OFF,off,fly-a,1.4583333333333333,0.0
A_OFF,off,fly-b,1.4583333333333333,0.0
A_OFF,off,fly-a,1.4666666666666666,0.0
A_OFF,off,fly-b,1.4666666666666666,0.0
A_OFF,off,fly-a,1.475,0.0
A_OFF,off,fly-b,1.475,0.0
A_OFF,off,fly-a,1.4833333333333334,0.0
A_OFF,off,fly-b,1.4833333333333334,0.0
A_OFF,off,fly-a,1.4916666666666667,0.0
A_OFF,off,fly-b,1.4916666666666667,0.0
A_OFF,off,fly-a,1.5,0.0
A_OFF,off,fly-b,1.5,0.0
A_OFF,off,fly-a,1.5083333333333333,0.0
A_OFF,off,fly-b,1.5083333333333333,0.0
A_OFF,off,fly-a,1.5166666666666666,0.0
A_OFF,off,fly-b,1.5166666666666666,0.0
A_OFF,off,fly-a,1.525,0.0
A_OFF,off,fly-b,1.525,0.0
A_OFF,off,fly-a,1.5333333333333332,0.0
A_OFF,off,fly-b,1.5333333333333332,0.0
A_OFF,off,fly-a,1.5416666666666667,0.0
A_OFF,off,fly-b,1.5416666666666667,0.0
A_OFF,off,fly-a,1.55,0.0
A_OFF,off,fly-b,1.55,0.0
A_OFF,off,fly-a,1.5583333333333333,0.0
A_OFF,off,fly-b,1.5583333333333333,0.0
A_OFF,off,fly-a,1.5666666666666667,0.0
A_OFF,off,fly-b,1.5666666666666667,0.0
A_OFF,off,fly-a,1.575,0.0
A_OFF,off,fly-b,1.575,0.0
A_OFF,off,fly-a,1.5833333333333333,0.0
A_OFF,off,fly-b,1.5833333333333333,0.0
A_OFF,off,fly-a,1.5916666666666666,0.0
A_OFF,off,fly-b,1.5916666666666666,0.0
A_OFF,off,fly-a,1.6,0.0
A_OFF,off,fly-b,1.6,0.0
A_OFF,off,fly-a,1.6083333333333334,0.0
A_OFF,off,fly-b,1.6083333333333334,0.0
A_OFF,off,fly-a,1.6166666666666667,0.0
A_OFF,off,fly-b,1.6166666666666667,0.0
A_OFF,off,fly-a,1.625,0.0
A_OFF,off,fly-b,1.625,0.0
A_OFF,off,fly-a,1.6333333333333333,0.0
A_OFF,off,fly-b,1.6333333333333333,0.0
A_OFF,off,fly-a,1.6416666666666666,0.0
A_OFF,off,fly-b,1.6416666666666666,0.0
A_OFF,off,fly-a,1.65,0.0
A_OFF,off,fly-b,1.65,0.0
A_OFF,off,fly-a,1.6583333333333332,0.0
A_OFF,off,fly-b,1.6583333333333332,0.0
A_OFF,off,fly-a,1.6666666666666667,0.0
A_OFF,off,fly-b,1.6666666666666667,0.0
A_OFF,off,fly-a,1.675,0.0
A_OFF,off,fly-b,1.675,0.0
A_OFF,off,fly-a,1.6833333333333333,0.0
A_OFF,off,fly-b,1.6833333333333333,0.0
A_OFF,off,fly-a,1.6916666666666667,0.0
A_OFF,off,fly-b,1.6916666666666667,0.0
A_OFF,off,fly-a,1.7,0.0
A_OFF,off,fly-b,1.7,0.0
A_OFF,off,fly-a,1.7083333333333333,0.0
A_OFF,off,fly-b,1.7083333333333333,0.0
A_OFF,off,fly-a,1.7166666666666666,0.0
A_OFF,off,fly-b,1.7166666666666666,0.0
A_OFF,off,fly-a,1.7249999999999999,0.0
A_OFF,off,fly-b,1.7249999999999999,0.0
A_OFF,off,fly-a,1.7333333333333334,0.0
A_OFF,off,fly-b,1.7333333333333334,0.0
A_OFF,off,fly-a,1.7416666666666667,0.0
A_OFF,off,fly-b,1.7416666666666667,0.0
A_OFF,off,fly-a,1.75,0.0
A_OFF,off,fly-b,1.75,0.0
A_OFF,off,fly-a,1.7583333333333333,0.0
A_OFF,off,fly-b,1.7583333333333333,0.0
A_OFF,off,fly-a,1.7666666666666666,0.0
A_OFF,off,fly-b,1.7666666666666666,0.0
A_OFF,off,fly-a,1.775,0.0
A_OFF,off,fly-b,1.775,0.0
A_OFF,off,fly-a,1.7833333333333332,0.0
A_OFF,off,fly-b,1.7833333333333332,0.0
A_OFF,off,fly-a,1.7916666666666667,0.0
A_OFF,off,fly-b,1.7916666666666667,0.0
A_OFF,off,fly-a,1.8,0.0
A_OFF,off,fly-b,1.8,0.0
A_OFF,off,fly-a,1.8083333333333333,0.0
A_OFF,off,fly-b,1.8083333333333333,0.0
A_OFF,off,fly-a,1.8166666666666667,0.0
A_OFF,off,fly-b,1.8166666666666667,0.0
A_OFF,off,fly-a,1.825,0.0
A_OFF,off,fly-b,1.825,0.0
A_OFF,off,fly-a,1.8333333333333333,0.0
A_OFF,off,fly-b,1.8333333333333333,0.0
A_OFF,off,fly-a,1.8416666666666666,0.0
A_OFF,off,fly-b,1.8416666666666666,0.0
A_OFF,off,fly-a,1.8499999999999999,0.0
A_OFF,off,fly-b,1.8499999999999999,0.0
A_OFF,off,fly-a,1.8583333333333334,0.0
A_OFF,off,fly-b,1.8583333333333334,0.0
A_OFF,off,fly-a,1.8666666666666667,0.0
A_OFF,off,fly-b,1.8666666666666667,0.0
A_OFF,off,fly-a,1.875,0.0
A_OFF,off,fly-b,1.875,0.0
A_OFF,off,fly-a,1.8833333333333333,0.0
A_OFF,off,fly-b,1.8833333333333333,0.0
A_OFF,off,fly-a,1.8916666666666666,0.0
A_OFF,off,fly-b,1.8916666666666666,0.0
A_OFF,off,fly-a,1.9,0.0
A_OFF,off,fly-b,1.9,0.0
A_OFF,off,fly-a,1.9083333333333332,0.0
A_OFF,off,fly-b,1.9083333333333332,0.0
A_OFF,off,fly-a,1.9166666666666667,0.0
A_OFF,off,fly-b,1.9166666666666667,0.0
A_OFF,off,fly-a,1.925,0.0
A_OFF,off,fly-b,1.925,0.0
A_OFF,off,fly-a,1.9333333333333333,0.0
A_OFF,off,fly-b,1.9333333333333333,0.0
A_OFF,off,fly-a,1.9416666666666667,0.0
A_OFF,off,fly-b,1.9416666666666667,0.0
A_OFF,off,fly-a,1.95,0.0
A_OFF,off,fly-b,1.95,0.0
A_OFF,off,fly-a,1.9583333333333333,0.0
A_OFF,off,fly-b,1.9583333333333333,0.0
A_OFF,off,fly-a,1.9666666666666666,0.0
A_OFF,off,fly-b,1.9666666666666666,0.0
A_OFF,off,fly-a,1.9749999999999999,0.0
A_OFF,off,fly-b,1.9749999999999999,0.0
A_OFF,off,fly-a,1.9833333333333334,0.0
A_OFF,off,fly-b,1.9833333333333334,0.0
A_OFF,off,fly-a,1.9916666666666667,0.0
A_OFF,off,fly-b,1.9916666666666667,0.0
A_OFF,off,fly-a,2.0,0.0
A_OFF,off,fly-b,2.0,0.0
A_OFF,off,fly-a,2.0083333333333333,0.0
A_OFF,off,fly-b,2.0083333333333333,0.0
A_OFF,off,fly-a,2.0166666666666666,0.0
A_OFF,off,fly-b,2.0166666666666666,0.0
A_OFF,off,fly-a,2.025,0.0
A_OFF,off,fly-b,2.025,0.0
A_OFF,off,fly-a,2.033333333333333,0.0
A_OFF,off,fly-b,2.033333333333333,0.0
A_OFF,off,fly-a,2.0416666666666665,0.0
A_OFF,off,fly-b,2.0416666666666665,0.0
A_OFF,off,fly-a,2.05,0.0
A_OFF,off,fly-b,2.05,0.0
A_OFF,off,fly-a,2.058333333333333,0.0
A_OFF,off,fly-b,2.058333333333333,0.0
A_OFF,off,fly-a,2.0666666666666664,0.0
A_OFF,off,fly-b,2.0666666666666664,0.0
A_OFF,off,fly-a,2.075,0.0
A_OFF,off,fly-b,2.075,0.0
A_OFF,off,fly-a,2.0833333333333335,0.0
A_OFF,off,fly-b,2.0833333333333335,0.0
A_OFF,off,fly-a,2.091666666666667,0.0
A_OFF,off,fly-b,2.091666666666667,0.0
A_OFF,off,fly-a,2.1,0.0
A_OFF,off,fly-b,2.1,0.0
A_OFF,off,fly-a,2.1083333333333334,0.0
A_OFF,off,fly-b,2.1083333333333334,0.0
A_OFF,off,fly-a,2.1166666666666667,0.0
A_OFF,off,fly-b,2.1166666666666667,0.0
A_OFF,off,fly-a,2.125,0.0
A_OFF,off,fly-b,2.125,0.0
A_OFF,off,fly-a,2.1333333333333333,0.0
A_OFF,off,fly-b,2.1333333333333333,0.0
A_OFF,off,fly-a,2.1416666666666666,0.0
A_OFF,off,fly-b,2.1416666666666666,0.0
A_OFF,off,fly-a,2.15,0.0
A_OFF,off,fly-b,2.15,0.0
A_OFF,off,fly-a,2.158333333333333,0.0
A_OFF,off,fly-b,2.158333333333333,0.0
A_OFF,off,fly-a,2.1666666666666665,0.0
A_OFF,off,fly-b,2.1666666666666665,0.0
A_OFF,off,fly-a,2.175,0.0
